부위,운동,자극 정확도,자세,설명 및 적합 이유
가슴,인클라인 푸시업,★★★,,상부 가슴 강조. 가슴 볼륨 유지 + 어깨-쇄골 정리
가슴,체스트 프레스 머신,★★☆,"1.날개뼈 눌러서 흉곽열고 아랫배 눌러주고 발바닥 바닥 미는 힘 유지
2.수축할때 어깨가 뜨거나 몸이 말리지않게 주의
3.수축할때 가슴 열어준거 유지한 상태로 모아준다는 느낌으로 밀어주기",전면 자극 좋지만 기계 의존도 높고 보조용으로 적합
가슴,펙덱 플라이,★★☆,,"수축감 좋지만 어깨 말림 주의, 자극 분산 가능"
등,인버티드 로우,★★★,"팔꿈치 쭉 핀 상태에서 들이마시고, 올라가 팔꿈치가랑 등 날개뼈가 꽉 접히면서 숨 내쉬기",광배 + 승모 하부 자극으로 등 라인 정리 최적
등,랫풀다운,★★☆,,자세 흐트러지면 승모근으로 빠질 수 있음
등,케이블 시티드 로우,★★★,,"후면 어깨 + 광배 동시 자극 가능, 자세 중요"
어깨,스탠딩/시티드 덤벨 숄더프레스,★★☆,,"어깨 전면 + 측면 비율 정리, 무겁게 하지 않도록 주의"
어깨,숄더프레스 머신,★☆☆,,부상 위험 적으나 목/팔로 자극이 샐 수 있음
복부,마운틴 클라이머,★★☆,"마운틴 클라이머 피드백
1.아랫빼 꽉 잡아 몸 둥글게 만거 풀리지않게 주의","복직근 하부 + 코어 강화, 정확한 자세 필수"
복부,플랭크 변형류,★★★,"팔은 어깨 아래에 두고 손바닥 밀착, 복부는 끌어당기듯 조이고, 무릎은 배 가까이, 리듬 있게 정확한 속도로 두 발에 한 번씩 호흡하며 진행.","지구력 + 심부 코어 강화, 체형 개선에 효과적"
엉덩이,힙 쓰러스트,★★★,"1.영상에서도 보이듯이 다리 수직이 아닌 앞으로 빠지게 되면 엉덩이 밀어올릴때 뒤로 밀게 됩니다. 그로 인해 햄스트링한테 자극을 뺐기니 주의
2.들어올릴때 무릎 열면서 엉덩이 꽉 수축해주기!!","대둔근 집중 자극, 힙업 + 볼륨 정리에 탁월"
엉덩이,백 런지,★★☆,".신발끈을 묶는다는 느낌으로 한 다리 뒤로 빼 쪼그려 앉는 동작입니다!!
2.뒷다리에 무게중심이 많이 실려 앉는데 방해하지않게 주의
그 차이는 발의 아치입니다!! 제꺼 영상보면은 뒷다리 무릎과 까치발이 많이 세워져 있습니다!!
3.내려갈때 허리를 말아서 내려가지않게 주의
시각적으로는 내려간것처럼 보이지만 다리기준으로는 내려간게 아닙니다!!
4.무릎을 기준으로 11자 맞추기
즉 회원님께서 다리가 안으로 들어가지않게 주의하며 처음 셋팅할때 골반정렬 맞추기u. ","힙 + 햄스트링 자극 균형, 골반 정렬에 도움"
엉덩이,크로스 런지 (스텝박스),★★☆,,"힙 옆선 + 중둔근 정리, 균형 어려움 주의"
허벅지 (앞/안쪽),스쿼트,★★☆,,"기본 동작이지만 대퇴사두 자극 주의, 힙/허벅지 비율 중요"
허벅지 (앞/안쪽),V 스쿼트,,,
허벅지 (앞/안쪽),핵스쿼트 머신,★★★,1.내려갈때 힘 툭 풀지않게 주의,"무릎 보호 + 앞허벅지 자극, 안정적 기구 운동"
허벅지 (앞/안쪽),케틀벨 데드리프트,★★☆,,햄스트링 + 둔근 정리에 효과적
허벅지 (앞/안쪽),컨벤셔널 데드리프트,★★★,"1.내려갈때 몸의 무게중심이 뒤로 기대서 내려가지 않게 주의
2.무릎 옆으로 여는 힘 유지
3.발 앞꿈치가 들리지않게 주의
4.복근힘이 풀려 허릴 젖혀지지않게 주의
5.일어났을때 엉덩이 수축 확실하게 해주기","하체 전체 슬림화에 효과, 중량 조절 중요"
허벅지 (앞/안쪽),스티프 레그 데드리프트,,"1.발바닥으로 지면 밀어서 엉덩이를 천장으로 밀어준다는 느낌으로 햄스트링 텐션 유지
2올라올때 아랫복근 힘 잡아서 허리로 안빠지게 하기",
,루마니안 데드리프트,,,
,케이블 킥백,,,
,스모 스쿼트,,,
,레그프레스,,,
,레그컬,,햄스트링 특화,
